Rang;Titre;Pï¿½riodicitï¿½;Pï¿½riode;Document;Diffusion;Evolution en %
1;Ouest-France;Quotidien;20242025;DSH;587081;-1.45
2;Le Parisien;Quotidien;20242025;PV;191224;1.14
3;Sud Ouest;Quotidien;20242025;DSH;171423;-5.81
4;Le Télégramme;Quotidien;20242025;DSH;160435;-1.1
5;La Voix du Nord;Quotidien;20242025;DSH;151332;-5
6;Le Dauphiné Libéré;Quotidien;20242025;DSH;138162;-2.74
7;La Nouvelle République du Centre-Ouest;Quotidien;20242025;DSH;118858;-5.13
8;Le Progrès;Quotidien;20242025;DSH;118666;-4.09
9;La Montagne;Quotidien;20242025;DSH;108848;-6.16
10;Dernières Nouvelles d'Alsace;Quotidien;20242025;DSH;106401;-4.05
11;La Dépêche du Midi;Quotidien;20242025;DSH;98715;-6
12;L'Est Républicain;Quotidien;20242025;DSH;93123;-3.85
13;Le Républicain Lorrain;Quotidien;20242025;DSH;71435;-4.37
14;Midi Libre;Quotidien;20242025;DSH;65016;-5.31
15;Le Courrier de l'Ouest;Quotidien;20242025;DSH;64825;-3.34
16;L'Union - L'Ardennais;Quotidien;20242025;DSH;60043;-3.2
17;La Provence;Quotidien;20242025;DSH;53619;-11.01
18;Nice-Matin;Quotidien;20242025;DSH;48211;-4.47
19;L'Alsace;Quotidien;20242025;DSH;48019;-4.04
20;Le Journal de Saône-et-Loire;Quotidien;20242025;DSH;38948;-1.57
21;Le Courrier Picard;Quotidien;20242025;DSH;34757;-5.77
22;L'Indépendant;Quotidien;20242025;DSH;34616;-3.25
23;Var-Matin;Quotidien;20242025;DSH;33542;-5.29
24;Le Bien Public;Quotidien;20242025;DSH;29888;-1.28
25;Paris Normandie;Quotidien;20242025;DSH;28489;-6.01
26;Le Maine Libre;Quotidien;20242025;DSH;27613;-4.7
27;Vosges Matin;Quotidien;20242025;DSH;26689;-3.13
28;Charente Libre;Quotidien;20242025;DSH;25663;-3.39
29;La République des Pyrénées;Quotidien;20242025;DSH;23890;-2.08
30;Le Populaire du Centre;Quotidien;20242025;DSH;21111;-5.72
31;Corse-Matin;Quotidien;20242025;DSH;20674;-5.1
32;Le Berry Républicain;Quotidien;20242025;DSH;19511;-5.25
33;L'Est Éclair;Quotidien;20242025;DSH;19140;-3.11
34;La République du Centre;Quotidien;20242025;DSH;19079;-5.88
35;L'écho Républicain;Quotidien;20242025;DSH;16661;-6.38
36;L'Yonne Républicaine;Quotidien;20242025;DSH;16630;-6.68
37;La Presse de la Manche;Quotidien;20242025;DSH;15860;-3.71
38;Le Journal du Centre;Quotidien;20242025;DSH;15829;-5.67
39;Presse-Océan;Quotidien;20242025;DSH;15797;-7.16
40;Le Journal de la Haute-Marne;Quotidien;20242025;DSH;15055;-3.47
41;Centre Presse Aveyron;Quotidien;20242025;DSH;14715;-4.11
42;Le Quotidien de la Réunion;Quotidien;20242025;DSH;11993;NA
43;L'Aisne Nouvelle;Quadri-hebdomadaire;20242025;DSH;11398;-5.87
44;L'Eveil de la Haute Loire;Quotidien;20242025;DSH;8301;7.83
45;La Nouvelle République des Pyrénées;Quotidien;20242025;DSH;7886;-4
46;Nord Littoral;Quotidien;20242025;DSH;5885;-1.77
47;Le Petit Bleu d'Agen;Quotidien;20242025;DSH;5814;-4.33
48;Centre Presse Poitiers;Quotidien;20242025;DSH;5222;-12.03
49;L'Eclair Pyrénées;Quotidien;20242025;DSH;4196;-6.19
50;Dordogne Libre;Quotidien;20242025;DSH;3947;-8.93
51;Libération Champagne;Quotidien;20242025;DSH;2280;-4.92
